No,;Time;;;Protocol;Length;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
115;1,251228;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,251228;1,256462;0,005234;;0,005103;0,000131;-0,004972
116;1,256462;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,256462;1,256593;0,000131;;-0,000271;0,000402;0,000673
117;1,256593;;;TCP;54;192,168,43,93;8.255.131.254;;;1,256593;1,256995;0,000402;;0,000402;0;-0,000402
118;1,256995;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,256995;1,256995;0;;-0,000159;0,000159;0,000318
119;1,256995;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,256995;1,257154;0,000159;;-0,014676;0,014835;0,029511
120;1,257154;;;TCP;54;192,168,43,93;8.255.131.254;;;1,257154;1,271989;0,014835;;0,014835;0;-0,014835
121;1,271989;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,271989;1,271989;0;;-0,000168;0,000168;0,000336
122;1,271989;;;HTTP;703;8.255.131.254;192,168,43,93;;;1,271989;1,272157;0,000168;;-0,002274;0,002442;0,004716
123;1,272157;;;TCP;54;192,168,43,93;8.255.131.254;;;1,272157;1,274599;0,002442;;-0,038126;0,040568;0,078694
124;1,274599;;;HTTP;303;192,168,43,93;8.255.131.254;;;1,274599;1,315167;0,040568;;0,026863;0,013705;-0,013158
125;1,315167;;;TCP;54;8.255.131.254;192,168,43,93;;;1,315167;1,328872;0,013705;;0,008102;0,005603;-0,002499
126;1,328872;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,328872;1,334475;0,005603;;0,005496;0,000107;-0,005389
127;1,334475;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,334475;1,334582;0,000107;;-5,3E-05;0,00016;0,000213
128;1,334582;;;TCP;54;192,168,43,93;8.255.131.254;;;1,334582;1,334742;0,00016;;-0,00487;0,00503;0,0099
129;1,334742;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,334742;1,339772;0,00503;;0,004893;0,000137;-0,004756
130;1,339772;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,339772;1,339909;0,000137;;-0,000295;0,000432;0,000727
131;1,339909;;;TCP;54;192,168,43,93;8.255.131.254;;;1,339909;1,340341;0,000432;;0,000432;0;-0,000432
132;1,340341;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,340341;1,340341;0;;-5,9E-05;5,9E-05;0,000118
133;1,340341;;;HTTP;747;8.255.131.254;192,168,43,93;;;1,340341;1,340400;5,9E-05;;-0,001684;0,001743;0,003427
134;1,340400;;;TCP;54;192,168,43,93;8.255.131.254;;;1,340400;1,342143;0,001743;;-0,047943;0,049686;0,097629
135;1,342143;;;HTTP;303;192,168,43,93;8.255.131.254;;;1,342143;1,391829;0,049686;;0,031586;0,0181;-0,013486
136;1,391829;;;TCP;54;8.255.131.254;192,168,43,93;;;1,391829;1,409929;0,0181;;-0,019235;0,037335;0,05657
137;1,409929;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,409929;1,447264;0,037335;;0,037198;0,000137;-0,037061
138;1,447264;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,447264;1,447401;0,000137;;-0,000873;0,00101;0,001883
139;1,447401;;;TCP;54;192,168,43,93;8.255.131.254;;;1,447401;1,448411;0,00101;;0,00101;0;-0,00101
140;1,448411;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,448411;1,448411;0;;0;0;0
141;1,448411;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,448411;1,448411;0;;0;0;0
142;1,448411;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,448411;1,448411;0;;-0,000178;0,000178;0,000356
143;1,448411;;;HTTP;753;8.255.131.254;192,168,43,93;;;1,448411;1,448589;0,000178;;-0,002636;0,002814;0,00545
144;1,448589;;;TCP;54;192,168,43,93;8.255.131.254;;;1,448589;1,451403;0,002814;;-0,028036;0,03085;0,058886
145;1,451403;;;HTTP;303;192,168,43,93;8.255.131.254;;;1,451403;1,482253;0,03085;;0,015468;0,015382;-8,6E-05
146;1,482253;;;TCP;54;8.255.131.254;192,168,43,93;;;1,482253;1,497635;0,015382;;0,008126;0,007256;-0,00087
147;1,497635;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,497635;1,504891;0,007256;;0,007256;0;-0,007256
148;1,504891;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,504891;1,504891;0;;-8,6E-05;8,6E-05;0,000172
149;1,504891;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,504891;1,504977;8,6E-05;;-8E-05;0,000166;0,000246
150;1,504977;;;TCP;54;192,168,43,93;8.255.131.254;;;1,504977;1,505143;0,000166;;0,000166;0;-0,000166
151;1,505143;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,505143;1,505143;0;;-4,5E-05;4,5E-05;9E-05
152;1,505143;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,505143;1,505188;4,5E-05;;-0,004514;0,004559;0,009073
153;1,505188;;;TCP;54;192,168,43,93;8.255.131.254;;;1,505188;1,509747;0,004559;;0,004445;0,000114;-0,004331
154;1,509747;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,509747;1,509861;0,000114;;-0,000673;0,000787;0,00146
155;1,509861;;;TCP;54;192,168,43,93;8.255.131.254;;;1,509861;1,510648;0,000787;;-0,006927;0,007714;0,014641
156;1,510648;;;HTTP;622;8.255.131.254;192,168,43,93;;;1,510648;1,518362;0,007714;;-0,028719;0,036433;0,065152
157;1,518362;;;HTTP;303;192,168,43,93;8.255.131.254;;;1,518362;1,554795;0,036433;;0,018726;0,017707;-0,001019
158;1,554795;;;TCP;54;8.255.131.254;192,168,43,93;;;1,554795;1,572502;0,017707;;0,012452;0,005255;-0,007197
159;1,572502;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,572502;1,577757;0,005255;;0,005153;0,000102;-0,005051
160;1,577757;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,577757;1,577859;0,000102;;-0,003433;0,003535;0,006968
161;1,577859;;;TCP;54;192,168,43,93;8.255.131.254;;;1,577859;1,581394;0,003535;;0,003535;0;-0,003535
162;1,581394;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,581394;1,581394;0;;0;0;0
163;1,581394;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,581394;1,581394;0;;-0,000154;0,000154;0,000308
164;1,581394;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,581394;1,581548;0,000154;;-0,000288;0,000442;0,00073
165;1,581548;;;TCP;54;192,168,43,93;8.255.131.254;;;1,581548;1,581990;0,000442;;0,000442;0;-0,000442
166;1,581990;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,581990;1,581990;0;;-0,000119;0,000119;0,000238
167;1,581990;;;HTTP;597;8.255.131.254;192,168,43,93;;;1,581990;1,582109;0,000119;;-0,002835;0,002954;0,005789
168;1,582109;;;TCP;54;192,168,43,93;8.255.131.254;;;1,582109;1,585063;0,002954;;-0,045979;0,048933;0,094912
169;1,585063;;;HTTP;303;192,168,43,93;8.255.131.254;;;1,585063;1,633996;0,048933;;-0,043783;0,092716;0,136499
170;1,633996;;;TCP;54;8.255.131.254;192,168,43,93;;;1,633996;1,726712;0,092716;;0,09224;0,000476;-0,091764
171;1,726712;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,726712;1,727188;0,000476;;0,000476;0;-0,000476
172;1,727188;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,727188;1,727188;0;;-0,000238;0,000238;0,000476
173;1,727188;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,727188;1,727426;0,000238;;-0,005493;0,005731;0,011224
174;1,727426;;;TCP;54;192,168,43,93;8.255.131.254;;;1,727426;1,733157;0,005731;;0,005731;0;-0,005731
175;1,733157;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,733157;1,733157;0;;-0,000149;0,000149;0,000298
176;1,733157;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,733157;1,733306;0,000149;;-2,2E-05;0,000171;0,000193
177;1,733306;;;TCP;54;192,168,43,93;8.255.131.254;;;1,733306;1,733477;0,000171;;0,000171;0;-0,000171
178;1,733477;;;TCP;1454;8.255.131.254;192,168,43,93;;;1,733477;1,733477;0;;-3,9E-05;3,9E-05;7,8E-05
179;1,733477;;;HTTP;445;8.255.131.254;192,168,43,93;;;1,733477;1,733516;3,9E-05;;-0,608735;0,608774;1,217509
180;1,733516;;;TCP;54;192,168,43,93;8.255.131.254;;;1,733516;2,342290;0,608774;;0,6082;0,000574;-0,607626
181;2,342290;;;TLSv1,2;130;192,168,43,93;13,91,16,67;;;2,342290;2,342864;0,000574;;0,000574;0;-0,000574
182;2,342864;;;TCP;1454;192,168,43,93;13,91,16,67;;;2,342864;2,342864;0;;0;0;0
183;2,342864;;;TCP;1454;192,168,43,93;13,91,16,67;;;2,342864;2,342864;0;;0;0;0
184;2,342864;;;TCP;1454;192,168,43,93;13,91,16,67;;;2,342864;2,342864;0;;0;0;0
185;2,342864;;;TCP;1454;192,168,43,93;13,91,16,67;;;2,342864;2,342864;0;;0;0;0
186;2,342864;;;TCP;1454;192,168,43,93;13,91,16,67;;;2,342864;2,342864;0;;-0,090113;0,090113;0,180226
187;2,342864;;;TLSv1,2;1056;192,168,43,93;13,91,16,67;;;2,342864;2,432977;0,090113;;0,074235;0,015878;-0,058357
188;2,432977;;;TCP;54;13,91,16,67;192,168,43,93;;;2,432977;2,448855;0,015878;;0,008812;0,007066;-0,001746
189;2,448855;;;TCP;54;13,91,16,67;192,168,43,93;;;2,448855;2,455921;0,007066;;-0,430456;0,437522;0,867978
190;2,455921;;;TCP;54;13,91,16,67;192,168,43,93;;;2,455921;2,893443;0,437522;;0,437522;0;-0,437522
191;2,893443;;;TLSv1,2;109;13,91,16,67;192,168,43,93;;;2,893443;2,893443;0;;-0,000157;0,000157;0,000314
192;2,893443;;;TLSv1,2;206;13,91,16,67;192,168,43,93;;;2,893443;2,893600;0,000157;;-0,00213;0,002287;0,004417
193;2,893600;;;TCP;54;192,168,43,93;13,91,16,67;;;2,893600;2,895887;0,002287;;0,002287;0;-0,002287
194;2,895887;;;TCP;1454;13,91,16,67;192,168,43,93;;;2,895887;2,895887;0;;-0,000153;0,000153;0,000306
195;2,895887;;;TLSv1,2;1009;13,91,16,67;192,168,43,93;;;2,895887;2,896040;0,000153;;-0,141749;0,141902;0,283651
196;2,896040;;;TCP;54;192,168,43,93;13,91,16,67;;;2,896040;3,037942;0,141902;;0,0768;0,065102;-0,011698
197;3,037942;;;TCP;54;192,168,43,93;8.255.131.254;;;3,037942;3,103044;0,065102;;0,054342;0,01076;-0,043582
198;3,103044;;;TCP;54;8.255.131.254;192,168,43,93;;;3,103044;3,113804;0,01076;;0,01066;1E-04;-0,01056
199;3,113804;;;TCP;54;8.255.131.254;192,168,43,93;;;3,113804;3,113904;1E-04;;-1,413798;1,413898;2,827696
200;3,113904;;;TCP;54;192,168,43,93;8.255.131.254;;;3,113904;4,527802;1,413898;;1,340926;0,072972;-1,267954
207;4,527802;;;TCP;55;192,168,43,93;114,125,240,13;;;4,527802;4,600774;0,072972;;-0,254638;0,32761;0,582248
208;4,600774;;;TCP;54;114,125,240,13;192,168,43,93;;;4,600774;4,928384;0,32761;;-0,144774;0,472384;0,617158
239;4,928384;;;TCP;55;192,168,43,93;114,125,240,13;;;4,928384;5,400768;0,472384;;0,472236;0,000148;-0,472088
246;5,400768;;;TCP;55;192,168,43,93;117,18,237,29;;;5,400768;5,400916;0,000148;;0,000101;4,7E-05;-5,4E-05
247;5,400916;;;TCP;55;192,168,43,93;13,225,5,36;;;5,400916;5,400963;4,7E-05;;-0,000655;0,000702;0,001357
248;5,400963;;;TCP;55;192,168,43,93;114.125.224.206;;;5,400963;5,401665;0,000702;;0,000543;0,000159;-0,000384
250;5,401665;;;TCP;55;192,168,43,93;142,251,12,94;;;5,401665;5,401824;0,000159;;0,00011;4,9E-05;-6,1E-05
251;5,401824;;;TCP;55;192,168,43,93;142,251,12,94;;;5,401824;5,401873;4,9E-05;;-0,050911;0,05096;0,101871
252;5,401873;;;TCP;55;192,168,43,93;13,33,33,114;;;5,401873;5,452833;0,05096;;-0,064986;0,115946;0,180932
254;5,452833;;;TCP;55;192,168,43,93;114.125.224.206;;;5,452833;5,568779;0,115946;;-0,081912;0,197858;0,27977
257;5,568779;;;TCP;55;192,168,43,93;34,107,221,82;;;5,568779;5,766637;0,197858;;0,021831;0,176027;0,154196
261;5,766637;;;TCP;55;192,168,43,93;34,107,221,82;;;5,766637;5,942664;0,176027;;-0,03216;0,208187;0,240347
334;5,942664;;;TCP;55;192,168,43,93;114,125,240,13;;;5,942664;6,150851;0,208187;;0,207868;0,000319;-0,207549
343;6,150851;;;TLSv1,2;200;192,168,43,93;13,91,16,67;;;6,150851;6,151170;0,000319;;0,000319;0;-0,000319
344;6,151170;;;TCP;1454;192,168,43,93;13,91,16,67;;;6,151170;6,151170;0;;-0,011298;0,011298;0,022596
345;6,151170;;;TLSv1,2;459;192,168,43,93;13,91,16,67;;;6,151170;6,162468;0,011298;;-0,109515;0,120813;0,230328
346;6,162468;;;TCP;55;192,168,43,93;142,251,12,94;;;6,162468;6,283281;0,120813;;0,003276;0,117537;0,114261
350;6,283281;;;TCP;55;192,168,43,93;142,251,12,94;;;6,283281;6,400818;0,117537;;0,117476;6,1E-05;-0,117415
357;6,400818;;;TCP;55;192,168,43,93;142,251,12,94;;;6,400818;6,400879;6,1E-05;;-1,7E-05;7,8E-05;9,5E-05
